item|part|tier|name|rarity|vaulted
Akstiletto Prime|Blueprint|Neo|A1|Rare|Yes
Akstiletto Prime|Blueprint|Neo|A4|Rare|Yes
Akstiletto Prime|Link|Lith|V7|Uncommon|Yes
Akstiletto Prime|Link|Meso|O1|Uncommon|Yes
Akstiletto Prime|Link|Neo|N5|Uncommon|Yes
Akstiletto Prime|Link|Axi|N1|Uncommon|Yes
Akstiletto Prime|Receiver|Axi|A7|Common|Yes
Akstiletto Prime|Receiver|Axi|K1|Uncommon|Yes
Akstiletto Prime|Receiver|Axi|T1|Uncommon|Yes
Akstiletto Prime|Receiver|Axi|O1|Uncommon|Yes
Akstiletto Prime|Receiver|Axi|H1|Uncommon|Yes
Akvasto Prime|Blueprint|Axi|A5|Rare|No
Akvasto Prime|Link|Axi|A5|Uncommon|No
Ankyros Prime|Blade|Axi|S3|Uncommon|Yes
Ankyros Prime|Blade|Axi|R1|Uncommon|Yes
Ankyros Prime|Blueprint|Lith|B4|Common|Yes
Ankyros Prime|Blueprint|Lith|B1|Common|Yes
Ankyros Prime|Gauntlet|Meso|M1|Common|Yes
Ankyros Prime|Gauntlet|Neo|R1|Common|Yes
Ash Prime|Blueprint|Meso|S3|Uncommon|Yes
Ash Prime|Blueprint|Meso|C1|Uncommon|Yes
Ash Prime|Blueprint|Lith|S3|Uncommon|Yes
Ash Prime|Blueprint|Lith|V7|Uncommon|Yes
Ash Prime|Chassis Blueprint|Lith|V8|Common|Yes
Ash Prime|Chassis Blueprint|Axi|B1|Common|Yes
Ash Prime|Chassis Blueprint|Neo|N4|Common|Yes
Ash Prime|Chassis Blueprint|Meso|V2|Common|Yes
Ash Prime|Neuroptics Blueprint|Neo|A4|Uncommon|Yes
Ash Prime|Neuroptics Blueprint|Neo|N3|Uncommon|Yes
Ash Prime|Neuroptics Blueprint|Axi|N2|Uncommon|Yes
Ash Prime|Neuroptics Blueprint|Neo|V4|Uncommon|Yes
Ash Prime|Neuroptics Blueprint|Meso|N2|Uncommon|Yes
Ash Prime|Neuroptics Blueprint|Meso|V4|Uncommon|Yes
Ash Prime|Systems Blueprint|Neo|N5|Uncommon|Yes
Ash Prime|Systems Blueprint|Axi|N1|Rare|Yes
Ash Prime|Systems Blueprint|Axi|A7|Rare|Yes
Atlas Prime|Blueprint|Lith|P3|Common|No
Atlas Prime|Blueprint|Lith|M5|Common|No
Atlas Prime|Blueprint|Lith|D1|Common|No
Atlas Prime|Chassis Blueprint|Axi|B3|Uncommon|No
Atlas Prime|Chassis Blueprint|Neo|T3|Uncommon|No
Atlas Prime|Chassis Blueprint|Neo|M3|Uncommon|No
Atlas Prime|Chassis Blueprint|Meso|E3|Uncommon|Yes
Atlas Prime|Neuroptics Blueprint|Axi|A11|Rare|No
Atlas Prime|Neuroptics Blueprint|Axi|A9|Rare|Yes
Atlas Prime|Neuroptics Blueprint|Axi|A6|Rare|Yes
Atlas Prime|Systems Blueprint|Meso|I1|Uncommon|No
Atlas Prime|Systems Blueprint|Neo|A3|Uncommon|No
Atlas Prime|Systems Blueprint|Meso|C4|Uncommon|Yes
Atlas Prime|Systems Blueprint|Lith|N4|Uncommon|Yes
Ballistica Prime|Blueprint|Lith|B6|Rare|Yes
Ballistica Prime|Blueprint|Lith|B3|Rare|Yes
Ballistica Prime|Blueprint|Lith|B5|Rare|Yes
Ballistica Prime|Blueprint|Lith|B2|Rare|Yes
Ballistica Prime|Lower Limb|Axi|K5|Common|Yes
Ballistica Prime|Lower Limb|Neo|B5|Common|Yes
Ballistica Prime|Lower Limb|Meso|M3|Common|Yes
Ballistica Prime|Lower Limb|Axi|V6|Common|Yes
Ballistica Prime|Lower Limb|Lith|O1|Common|Yes
Ballistica Prime|Lower Limb|Meso|A1|Common|Yes
Ballistica Prime|Receiver|Lith|P2|Uncommon|Yes
Ballistica Prime|Receiver|Neo|H2|Uncommon|Yes
Ballistica Prime|Receiver|Neo|L1|Uncommon|Yes
Ballistica Prime|Receiver|Meso|P1|Uncommon|Yes
Ballistica Prime|Receiver|Neo|S7|Uncommon|Yes
Ballistica Prime|String|Meso|R1|Uncommon|Yes
Ballistica Prime|String|Axi|A4|Uncommon|Yes
Ballistica Prime|String|Meso|G1|Uncommon|Yes
Ballistica Prime|Upper Limb|Meso|S8|Uncommon|Yes
Ballistica Prime|Upper Limb|Neo|N10|Uncommon|Yes
Ballistica Prime|Upper Limb|Lith|V5|Uncommon|Yes
Ballistica Prime|Upper Limb|Lith|T1|Uncommon|Yes
Banshee Prime|Blueprint|Axi|C3|Uncommon|Yes
Banshee Prime|Blueprint|Neo|H1|Uncommon|Yes
Banshee Prime|Blueprint|Axi|K3|Uncommon|Yes
Banshee Prime|Blueprint|Neo|T1|Uncommon|Yes
Banshee Prime|Blueprint|Neo|V7|Uncommon|Yes
Banshee Prime|Blueprint|Neo|N7|Uncommon|Yes
Banshee Prime|Blueprint|Meso|T2|Uncommon|Yes
Banshee Prime|Chassis Blueprint|Meso|B2|Rare|Yes
Banshee Prime|Chassis Blueprint|Neo|B1|Rare|Yes
Banshee Prime|Chassis Blueprint|Neo|B2|Rare|Yes
Banshee Prime|Neuroptics Blueprint|Neo|K2|Common|Yes
Banshee Prime|Neuroptics Blueprint|Neo|S7|Common|Yes
Banshee Prime|Neuroptics Blueprint|Lith|B5|Common|Yes
Banshee Prime|Neuroptics Blueprint|Lith|V5|Common|Yes
Banshee Prime|Neuroptics Blueprint|Meso|S4|Common|Yes
Banshee Prime|Systems Blueprint|Neo|B4|Rare|Yes
Banshee Prime|Systems Blueprint|Axi|B2|Rare|Yes
Banshee Prime|Systems Blueprint|Axi|B1|Rare|Yes
Banshee Prime|Systems Blueprint|Neo|B5|Rare|Yes
Baza Prime|Barrel|Lith|S10|Uncommon|No
Baza Prime|Barrel|Lith|W2|Uncommon|Yes
Baza Prime|Blueprint|Axi|B4|Rare|No
Baza Prime|Blueprint|Meso|B4|Rare|Yes
Baza Prime|Receiver|Meso|P2|Common|No
Baza Prime|Receiver|Meso|E4|Common|No
Baza Prime|Receiver|Neo|R3|Common|Yes
Baza Prime|Stock|Axi|B3|Rare|No
Bo Prime|Blueprint|Lith|G2|Common|Yes
Bo Prime|Blueprint|Lith|O2|Common|Yes
Bo Prime|Handle|Neo|V8|Uncommon|Yes
Bo Prime|Handle|Neo|F1|Uncommon|Yes
Bo Prime|Ornament|Axi|L4|Common|Yes
Bo Prime|Ornament|Meso|E1|Common|Yes
Boar Prime|Barrel|Axi|V2|Uncommon|Yes
Boar Prime|Barrel|Lith|M2|Uncommon|Yes
Boar Prime|Barrel|Meso|M1|Uncommon|Yes
Boar Prime|Blueprint|Neo|B3|Common|Yes
Boar Prime|Blueprint|Neo|D1|Common|Yes
Boar Prime|Blueprint|Neo|N9|Common|Yes
Boar Prime|Receiver|Lith|M1|Common|Yes
Boar Prime|Receiver|Axi|R1|Common|Yes
Boar Prime|Receiver|Axi|S4|Common|Yes
Boar Prime|Stock|Meso|B3|Rare|Yes
Boar Prime|Stock|Meso|B1|Rare|Yes
Boar Prime|Stock|Lith|B1|Rare|Yes
Boltor Prime|Barrel|Meso|N6|Common|Yes
Boltor Prime|Barrel|Meso|M1|Common|Yes
Boltor Prime|Blueprint|Neo|B3|Rare|Yes
Boltor Prime|Blueprint|Lith|B4|Rare|Yes
Boltor Prime|Receiver|Lith|B1|Uncommon|Yes
Boltor Prime|Receiver|Neo|R1|Uncommon|Yes
Boltor Prime|Stock|Axi|S3|Common|Yes
Boltor Prime|Stock|Axi|R1|Common|Yes
Braton Prime|Barrel|Axi|C5|Common|No
Braton Prime|Barrel|Meso|G1|Common|Yes
Braton Prime|Barrel|Meso|N3|Common|Yes
Braton Prime|Barrel|Axi|N6|Common|Yes
Braton Prime|Barrel|Meso|V6|Common|Yes
Braton Prime|Barrel|Lith|A1|Common|Yes
Braton Prime|Barrel|Axi|A3|Common|Yes
Braton Prime|Barrel|Neo|K2|Common|Yes
Braton Prime|Barrel|Neo|B5|Common|Yes
Braton Prime|Barrel|Lith|S8|Common|Yes
Braton Prime|Barrel|Neo|A1|Common|Yes
Braton Prime|Barrel|Meso|S5|Common|Yes
Braton Prime|Barrel|Lith|K2|Common|Yes
Braton Prime|Barrel|Neo|N11|Common|Yes
Braton Prime|Blueprint|Axi|T4|Common|No
Braton Prime|Blueprint|Neo|T3|Common|No
Braton Prime|Blueprint|Axi|C2|Common|Yes
Braton Prime|Blueprint|Axi|C4|Common|Yes
Braton Prime|Blueprint|Meso|B2|Common|Yes
Braton Prime|Blueprint|Axi|L2|Common|Yes
Braton Prime|Blueprint|Axi|K5|Common|Yes
Braton Prime|Blueprint|Axi|D2|Common|Yes
Braton Prime|Blueprint|Lith|C3|Uncommon|Yes
Braton Prime|Blueprint|Axi|D1|Common|Yes
Braton Prime|Blueprint|Axi|N1|Common|Yes
Braton Prime|Blueprint|Meso|V1|Uncommon|Yes
Braton Prime|Blueprint|Meso|S9|Common|Yes
Braton Prime|Blueprint|Axi|V6|Common|Yes
Braton Prime|Blueprint|Axi|A7|Common|Yes
Braton Prime|Blueprint|Meso|Z2|Common|Yes
Braton Prime|Blueprint|Meso|R1|Common|Yes
Braton Prime|Blueprint|Lith|T2|Uncommon|Yes
Braton Prime|Blueprint|Lith|N3|Uncommon|Yes
Braton Prime|Blueprint|Lith|V3|Common|Yes
Braton Prime|Receiver|Meso|P2|Common|No
Braton Prime|Receiver|Lith|C6|Uncommon|No
Braton Prime|Receiver|Lith|P1|Uncommon|Yes
Braton Prime|Receiver|Axi|V3|Uncommon|Yes
Braton Prime|Receiver|Axi|N6|Uncommon|Yes
Braton Prime|Receiver|Axi|V2|Uncommon|Yes
Braton Prime|Receiver|Lith|B2|Uncommon|Yes
Braton Prime|Receiver|Axi|V5|Uncommon|Yes
Braton Prime|Receiver|Lith|L2|Uncommon|Yes
Braton Prime|Receiver|Lith|K2|Uncommon|Yes
Braton Prime|Stock|Meso|K3|Common|No
Braton Prime|Stock|Neo|R4|Common|No
Braton Prime|Stock|Axi|A8|Common|Yes
Braton Prime|Stock|Meso|C4|Common|Yes
Braton Prime|Stock|Neo|V2|Common|Yes
Braton Prime|Stock|Axi|A4|Common|Yes
Braton Prime|Stock|Lith|T3|Common|Yes
Braton Prime|Stock|Meso|D3|Common|Yes
Braton Prime|Stock|Lith|C4|Uncommon|Yes
Braton Prime|Stock|Axi|E2|Common|Yes
Braton Prime|Stock|Axi|A6|Common|Yes
Braton Prime|Stock|Neo|Z2|Common|Yes
Braton Prime|Stock|Axi|A1|Common|Yes
Braton Prime|Stock|Neo|S10|Common|Yes
Braton Prime|Stock|Neo|R2|Common|Yes
Braton Prime|Stock|Neo|N4|Common|Yes
Braton Prime|Stock|Meso|T1|Common|Yes
Braton Prime|Stock|Meso|N5|Common|Yes
Braton Prime|Stock|Meso|N1|Common|Yes
Braton Prime|Stock|Neo|B2|Common|Yes
Bronco Prime|Barrel|Meso|N10|Uncommon|No
Bronco Prime|Barrel|Meso|R3|Uncommon|Yes
Bronco Prime|Barrel|Neo|M2|Uncommon|Yes
Bronco Prime|Barrel|Neo|V1|Uncommon|Yes
Bronco Prime|Barrel|Axi|N3|Uncommon|Yes
Bronco Prime|Barrel|Axi|E2|Uncommon|Yes
Bronco Prime|Blueprint|Lith|M6|Common|No
Bronco Prime|Blueprint|Lith|N1|Common|Yes
Bronco Prime|Blueprint|Lith|H1|Common|Yes
Bronco Prime|Blueprint|Neo|S9|Common|Yes
Bronco Prime|Blueprint|Meso|N3|Common|Yes
Bronco Prime|Blueprint|Lith|V8|Common|Yes
Bronco Prime|Blueprint|Lith|N4|Common|Yes
Bronco Prime|Blueprint|Axi|S1|Common|Yes
Bronco Prime|Blueprint|Axi|N2|Common|Yes
Bronco Prime|Blueprint|Neo|M1|Common|Yes
Bronco Prime|Blueprint|Meso|E2|Common|Yes
Bronco Prime|Blueprint|Lith|S1|Common|Yes
Bronco Prime|Blueprint|Meso|C2|Common|Yes
Bronco Prime|Blueprint|Meso|S2|Common|Yes
Bronco Prime|Blueprint|Axi|P3|Common|Yes
Bronco Prime|Blueprint|Axi|P2|Common|Yes
Bronco Prime|Blueprint|Meso|N2|Common|Yes
Bronco Prime|Blueprint|Meso|V5|Common|Yes
Bronco Prime|Receiver|Axi|W1|Common|No
Bronco Prime|Receiver|Neo|M3|Common|No
Bronco Prime|Receiver|Neo|S11|Common|Yes
Bronco Prime|Receiver|Neo|Z3|Common|Yes
Bronco Prime|Receiver|Meso|F1|Common|Yes
Bronco Prime|Receiver|Meso|E3|Common|Yes
Bronco Prime|Receiver|Neo|S8|Common|Yes
Bronco Prime|Receiver|Meso|P1|Common|Yes
Bronco Prime|Receiver|Meso|B4|Common|Yes
Bronco Prime|Receiver|Axi|S1|Common|Yes
Bronco Prime|Receiver|Neo|V4|Common|Yes
Bronco Prime|Receiver|Neo|N6|Common|Yes
Bronco Prime|Receiver|Meso|S8|Common|Yes
Bronco Prime|Receiver|Neo|B1|Common|Yes
Bronco Prime|Receiver|Lith|C2|Common|Yes
Burston Prime|Barrel|Lith|P3|Uncommon|No
Burston Prime|Barrel|Neo|V5|Uncommon|Yes
Burston Prime|Barrel|Axi|T1|Uncommon|Yes
Burston Prime|Barrel|Lith|F2|Uncommon|Yes
Burston Prime|Barrel|Axi|H3|Uncommon|Yes
Burston Prime|Barrel|Axi|G4|Uncommon|Yes
Burston Prime|Barrel|Meso|S8|Uncommon|Yes
Burston Prime|Barrel|Axi|T2|Uncommon|Yes
Burston Prime|Barrel|Axi|G3|Uncommon|Yes
Burston Prime|Barrel|Axi|P3|Uncommon|Yes
Burston Prime|Barrel|Neo|B1|Uncommon|Yes
Burston Prime|Blueprint|Lith|S10|Common|No
Burston Prime|Blueprint|Axi|S6|Common|Yes
Burston Prime|Blueprint|Neo|S6|Common|Yes
Burston Prime|Blueprint|Lith|B3|Common|Yes
Burston Prime|Blueprint|Lith|O1|Common|Yes
Burston Prime|Blueprint|Neo|T1|Common|Yes
Burston Prime|Blueprint|Lith|T1|Common|Yes
Burston Prime|Blueprint|Axi|T3|Common|Yes
Burston Prime|Blueprint|Neo|R3|Common|Yes
Burston Prime|Blueprint|Axi|L5|Common|Yes
Burston Prime|Blueprint|Lith|P2|Common|Yes
Burston Prime|Blueprint|Meso|C5|Common|Yes
Burston Prime|Blueprint|Meso|V1|Common|Yes
Burston Prime|Receiver|Axi|A11|Common|No
Burston Prime|Receiver|Lith|D1|Common|No
Burston Prime|Receiver|Neo|I2|Common|No
Burston Prime|Receiver|Lith|S5|Common|Yes
Burston Prime|Receiver|Meso|L1|Common|Yes
Burston Prime|Receiver|Axi|G2|Common|Yes
Burston Prime|Receiver|Lith|C4|Common|Yes
Burston Prime|Receiver|Lith|N3|Common|Yes
Burston Prime|Receiver|Neo|S3|Common|Yes
Burston Prime|Receiver|Meso|Z1|Common|Yes
Burston Prime|Receiver|Neo|H1|Common|Yes
Burston Prime|Receiver|Neo|G3|Common|Yes
Burston Prime|Receiver|Meso|T1|Common|Yes
Burston Prime|Stock|Lith|M5|Common|No
Burston Prime|Stock|Neo|Z5|Common|No
Burston Prime|Stock|Neo|H2|Common|Yes
Burston Prime|Stock|Neo|S2|Common|Yes
Burston Prime|Stock|Neo|Z4|Common|Yes
Burston Prime|Stock|Meso|S5|Common|Yes
Burston Prime|Stock|Lith|K1|Common|Yes
Burston Prime|Stock|Neo|M2|Common|Yes
Burston Prime|Stock|Meso|C3|Common|Yes
Burston Prime|Stock|Axi|O3|Common|Yes
Burston Prime|Stock|Meso|N3|Common|Yes
Burston Prime|Stock|Neo|B4|Common|Yes
Burston Prime|Stock|Neo|V6|Common|Yes
Burston Prime|Stock|Lith|S9|Common|Yes
Burston Prime|Stock|Lith|V1|Common|Yes
Carrier Prime|Blueprint|Neo|S3|Common|Yes
Carrier Prime|Blueprint|Meso|V1|Common|Yes
Carrier Prime|Blueprint|Lith|V7|Common|Yes
Carrier Prime|Blueprint|Meso|V3|Common|Yes
Carrier Prime|Blueprint|Meso|V4|Common|Yes
Carrier Prime|Carapace|Axi|N2|Common|Yes
Carrier Prime|Carapace|Neo|S1|Common|Yes
Carrier Prime|Carapace|Neo|A4|Common|Yes
Carrier Prime|Carapace|Lith|S5|Common|Yes
Carrier Prime|Cerebrum|Lith|C1|Rare|Yes
Carrier Prime|Cerebrum|Meso|V6|Uncommon|Yes
Carrier Prime|Cerebrum|Meso|N3|Uncommon|Yes
Carrier Prime|Cerebrum|Meso|C2|Rare|Yes
Carrier Prime|Cerebrum|Meso|C1|Rare|Yes
Carrier Prime|Systems|Lith|N2|Common|Yes
Carrier Prime|Systems|Axi|A7|Common|Yes
Carrier Prime|Systems|Lith|S2|Common|Yes
Carrier Prime|Systems|Axi|V1|Common|Yes
Carrier Prime|Systems|Lith|S3|Common|Yes
Carrier Prime|Systems|Neo|A1|Common|Yes
Carrier Prime|Systems|Neo|V3|Common|Yes
Cernos Prime|Blueprint|Lith|Z1|Uncommon|Yes
Cernos Prime|Blueprint|Axi|V4|Uncommon|Yes
Cernos Prime|Blueprint|Neo|S13|Uncommon|Yes
Cernos Prime|Blueprint|Lith|A2|Uncommon|Yes
Cernos Prime|Blueprint|Axi|B1|Uncommon|Yes
Cernos Prime|Blueprint|Neo|V7|Uncommon|Yes
Cernos Prime|Grip|Lith|V6|Common|Yes
Cernos Prime|Grip|Meso|V5|Common|Yes
Cernos Prime|Grip|Neo|V4|Common|Yes
Cernos Prime|Grip|Axi|K3|Common|Yes
Cernos Prime|Grip|Neo|V6|Common|Yes
Cernos Prime|Grip|Axi|H3|Common|Yes
Cernos Prime|Grip|Axi|S5|Common|Yes
Cernos Prime|Lower Limb|Lith|C2|Rare|Yes
Cernos Prime|Lower Limb|Lith|C5|Rare|Yes
Cernos Prime|Lower Limb|Axi|C2|Rare|Yes
Cernos Prime|Lower Limb|Meso|C3|Rare|Yes
Cernos Prime|Lower Limb|Axi|C1|Rare|Yes
Cernos Prime|String|Axi|A3|Uncommon|Yes
Cernos Prime|String|Meso|N8|Uncommon|Yes
Cernos Prime|String|Meso|O1|Uncommon|Yes
Cernos Prime|String|Meso|S6|Uncommon|Yes
Cernos Prime|String|Lith|B3|Uncommon|Yes
Cernos Prime|String|Neo|A1|Uncommon|Yes
Cernos Prime|String|Axi|K2|Uncommon|Yes
Cernos Prime|Upper Limb|Meso|N8|Common|Yes
Cernos Prime|Upper Limb|Axi|N4|Common|Yes
Cernos Prime|Upper Limb|Meso|O2|Common|Yes
Cernos Prime|Upper Limb|Lith|V3|Common|Yes
Cernos Prime|Upper Limb|Meso|C2|Common|Yes
Cernos Prime|Upper Limb|Meso|S7|Common|Yes
Cernos Prime|Upper Limb|Neo|N6|Common|Yes
Cernos Prime|Upper Limb|Meso|K1|Common|Yes
Chroma Prime|Blueprint|Axi|A6|Common|Yes
Chroma Prime|Blueprint|Meso|B4|Common|Yes
Chroma Prime|Blueprint|Neo|K2|Common|Yes
Chroma Prime|Blueprint|Axi|D1|Common|Yes
Chroma Prime|Blueprint|Axi|T5|Common|Yes
Chroma Prime|Blueprint|Meso|Z3|Common|Yes
Chroma Prime|Blueprint|Meso|P1|Common|Yes
Chroma Prime|Chassis Blueprint|Meso|T3|Uncommon|Yes
Chroma Prime|Chassis Blueprint|Meso|D4|Uncommon|Yes
Chroma Prime|Chassis Blueprint|Meso|L1|Uncommon|Yes
Chroma Prime|Chassis Blueprint|Axi|R2|Uncommon|Yes
Chroma Prime|Chassis Blueprint|Meso|C5|Uncommon|Yes
Chroma Prime|Chassis Blueprint|Meso|K2|Uncommon|Yes
Chroma Prime|Neuroptics Blueprint|Lith|C3|Rare|Yes
Chroma Prime|Neuroptics Blueprint|Lith|C4|Rare|Yes
Chroma Prime|Systems Blueprint|Meso|C4|Rare|Yes
Chroma Prime|Systems Blueprint|Axi|C3|Rare|Yes
Chroma Prime|Systems Blueprint|Neo|C1|Rare|Yes
Chroma Prime|Systems Blueprint|Axi|C4|Rare|Yes
Corinth Prime|Barrel|Axi|C5|Rare|No
Corinth Prime|Barrel|Meso|C5|Rare|Yes
Corinth Prime|Blueprint|Axi|T4|Common|No
Corinth Prime|Blueprint|Meso|I1|Common|No
Corinth Prime|Receiver|Neo|R4|Uncommon|No
Corinth Prime|Stock|Lith|C6|Rare|No
Dakra Prime|Blade|Neo|B3|Uncommon|Yes
Dakra Prime|Blade|Axi|S4|Uncommon|Yes
Dakra Prime|Blade|Neo|D1|Rare|Yes
Dakra Prime|Blueprint|Axi|R1|Uncommon|Yes
Dakra Prime|Blueprint|Meso|B3|Uncommon|Yes
Dakra Prime|Blueprint|Lith|M1|Uncommon|Yes
Dakra Prime|Handle|Lith|M2|Common|Yes
Dakra Prime|Handle|Meso|M1|Common|Yes
Dakra Prime|Handle|Meso|B1|Common|Yes
Dakra Prime|Handle|Neo|N9|Common|Yes
Destreza Prime|Blade|Axi|D2|Rare|Yes
Destreza Prime|Blade|Meso|D2|Rare|Yes
Destreza Prime|Blade|Meso|D3|Rare|Yes
Destreza Prime|Blade|Axi|D1|Rare|Yes
Destreza Prime|Blueprint|Neo|S9|Uncommon|Yes
Destreza Prime|Blueprint|Lith|M4|Uncommon|Yes
Destreza Prime|Blueprint|Neo|B5|Uncommon|Yes
Destreza Prime|Blueprint|Axi|K4|Uncommon|Yes
Destreza Prime|Blueprint|Axi|P2|Uncommon|Yes
Destreza Prime|Blueprint|Meso|R2|Uncommon|Yes
Destreza Prime|Handle|Axi|O3|Common|Yes
Destreza Prime|Handle|Meso|E3|Common|Yes
Destreza Prime|Handle|Meso|E2|Common|Yes
Destreza Prime|Handle|Axi|O4|Common|Yes
Destreza Prime|Handle|Axi|R2|Common|Yes
Destreza Prime|Handle|Axi|D2|Common|Yes
Destreza Prime|Handle|Lith|L1|Common|Yes
Dethcube Prime|Blueprint|Lith|D1|Rare|No
Dethcube Prime|Carapace|Lith|M6|Uncommon|No
Dethcube Prime|Carapace|Neo|T2|Uncommon|No
Dethcube Prime|Carapace|Meso|L1|Uncommon|Yes
Dethcube Prime|Carapace|Meso|R3|Uncommon|Yes
Dethcube Prime|Cerebrum|Lith|D2|Rare|No
Dethcube Prime|Cerebrum|Meso|D4|Rare|Yes
Dethcube Prime|Systems|Neo|I2|Common|No
Dethcube Prime|Systems|Lith|S10|Common|No
Dethcube Prime|Systems|Neo|G2|Common|Yes
Dethcube Prime|Systems|Axi|P2|Common|Yes
Dual Kamas Prime|Blade|Meso|D5|Rare|No
Dual Kamas Prime|Blade|Meso|D1|Rare|Yes
Dual Kamas Prime|Blueprint|Lith|K4|Common|No
Dual Kamas Prime|Blueprint|Axi|N3|Common|Yes
Dual Kamas Prime|Blueprint|Neo|T1|Common|Yes
Dual Kamas Prime|Blueprint|Neo|V1|Common|Yes
Dual Kamas Prime|Blueprint|Lith|S6|Common|Yes
Dual Kamas Prime|Blueprint|Axi|V1|Common|Yes
Dual Kamas Prime|Blueprint|Axi|V5|Common|Yes
Dual Kamas Prime|Handle|Neo|N12|Uncommon|No
Dual Kamas Prime|Handle|Axi|A1|Uncommon|Yes
Dual Kamas Prime|Handle|Meso|N1|Uncommon|Yes
Dual Kamas Prime|Handle|Meso|F1|Uncommon|Yes
